m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
800,22,destructive,1,0.212500,0.270000,0.230133,1,1,1,0.447118,0.223559,7
800,22,destructive,2,0.196250,0.285000,0.243533,0,1,0,0.447118,0.223559,7
800,23,destructive,0,0.497500,0.470000,0.459267,1,1,1,0.447118,0.223559,7
800,23,destructive,1,0.235000,0.230000,0.238233,1,1,1,0.447118,0.223559,7
800,23,destructive,2,0.212500,0.265000,0.259400,0,1,0,0.447118,0.223559,7
800,24,destructive,0,0.470000,0.395000,0.453400,1,1,1,0.447118,0.223559,7
800,24,destructive,1,0.225000,0.200000,0.225400,1,1,1,0.447118,0.223559,7
800,24,destructive,2,0.201250,0.230000,0.237800,0,1,0,0.447118,0.223559,7
800,25,destructive,0,0.471250,0.490000,0.458833,1,1,1,0.447118,0.223559,7
800,25,destructive,1,0.212500,0.225000,0.231167,1,1,1,0.447118,0.223559,7
800,25,destructive,2,0.198750,0.285000,0.235233,0,1,0,0.447118,0.223559,7
800,26,destructive,0,0.465000,0.520000,0.457300,1,1,1,0.447118,0.223559,7
800,26,destructive,1,0.212500,0.235000,0.230033,1,1,1,0.447118,0.223559,7
800,26,destructive,2,0.187500,0.205000,0.232533,1,1,1,0.447118,0.223559,7
800,26,destructive,3,0.081250,0.260000,0.326267,0,1,0,0.447118,0.223559,7
800,27,destructive,0,0.456250,0.470000,0.457933,1,1,1,0.447118,0.223559,7
800,27,destructive,1,0.223750,0.210000,0.226233,1,1,1,0.447118,0.223559,7
800,27,destructive,2,0.180000,0.230000,0.241733,0,1,0,0.447118,0.223559,7
800,28,destructive,0,0.456250,0.485000,0.458333,1,1,1,0.447118,0.223559,7
800,28,destructive,1,0.216250,0.190000,0.230567,1,1,1,0.447118,0.223559,7
800,28,destructive,2,0.186250,0.185000,0.247800,1,1,1,0.447118,0.223559,7
800,28,destructive,3,0.053750,0.290000,0.341333,0,1,0,0.447118,0.223559,7
800,29,destructive,0,0.465000,0.390000,0.459267,1,1,1,0.447118,0.223559,7
800,29,destructive,1,0.230000,0.215000,0.226133,1,1,1,0.447118,0.223559,7
800,29,destructive,2,0.211250,0.220000,0.234467,1,1,1,0.447118,0.223559,7
800,29,destructive,3,0.113750,0.305000,0.316400,0,1,0,0.447118,0.223559,7
800,30,destructive,0,0.471250,0.485000,0.455567,1,1,1,0.447118,0.223559,7
800,30,destructive,1,0.218750,0.225000,0.235000,1,1,1,0.447118,0.223559,7
800,30,destructive,2,0.193750,0.275000,0.250333,0,1,0,0.447118,0.223559,7
800,31,destructive,0,0.457500,0.450000,0.463767,1,1,1,0.447118,0.223559,7
800,31,destructive,1,0.225000,0.195000,0.228433,1,1,1,0.447118,0.223559,7
800,31,destructive,2,0.206250,0.250000,0.248633,0,1,0,0.447118,0.223559,7
800,32,destructive,0,0.453750,0.450000,0.459933,1,1,1,0.447118,0.223559,7
800,32,destructive,1,0.212500,0.265000,0.228933,1,1,1,0.447118,0.223559,7
800,32,destructive,2,0.185000,0.280000,0.244800,0,1,0,0.447118,0.223559,7
800,33,destructive,0,0.460000,0.480000,0.454500,1,1,1,0.447118,0.223559,7
800,33,destructive,1,0.208750,0.240000,0.227333,1,1,1,0.447118,0.223559,7
800,33,destructive,2,0.185000,0.255000,0.240067,0,1,0,0.447118,0.223559,7
800,34,destructive,0,0.435000,0.470000,0.460833,1,1,1,0.447118,0.223559,7
800,34,destructive,1,0.213750,0.260000,0.229533,1,1,1,0.447118,0.223559,7
800,34,destructive,2,0.195000,0.285000,0.250267,0,1,0,0.447118,0.223559,7
800,35,destructive,0,0.458750,0.480000,0.464900,1,1,1,0.447118,0.223559,7
800,35,destructive,1,0.236250,0.160000,0.227933,1,1,1,0.447118,0.223559,7
800,35,destructive,2,0.207500,0.195000,0.245900,0,1,0,0.447118,0.223559,7
800,36,destructive,0,0.460000,0.505000,0.458600,1,1,1,0.447118,0.223559,7
800,36,destructive,1,0.215000,0.215000,0.224433,1,1,1,0.447118,0.223559,7
800,36,destructive,2,0.191250,0.195000,0.255700,1,1,1,0.447118,0.223559,7
800,36,destructive,3,0.063750,0.275000,0.332133,0,1,0,0.447118,0.223559,7
800,37,destructive,0,0.486250,0.455000,0.460533,1,1,1,0.447118,0.223559,7
800,37,destructive,1,0.211250,0.225000,0.226400,1,1,1,0.447118,0.223559,7
800,37,destructive,2,0.192500,0.220000,0.240833,1,1,1,0.447118,0.223559,7
800,37,destructive,3,0.076250,0.320000,0.327067,0,1,0,0.447118,0.223559,7
800,38,destructive,0,0.478750,0.440000,0.462300,1,1,1,0.447118,0.223559,7
800,38,destructive,1,0.231250,0.285000,0.236267,1,1,1,0.447118,0.223559,7
800,38,destructive,2,0.211250,0.290000,0.252700,1,1,1,0.447118,0.223559,7
800,38,destructive,3,0.060000,0.335000,0.359000,0,1,0,0.447118,0.223559,7
800,39,destructive,0,0.461250,0.485000,0.462567,1,1,1,0.447118,0.223559,7
800,39,destructive,1,0.232500,0.265000,0.227567,1,1,1,0.447118,0.223559,7
800,39,destructive,2,0.221250,0.260000,0.261033,1,1,1,0.447118,0.223559,7
800,39,destructive,3,0.045000,0.415000,0.375000,0,1,0,0.447118,0.223559,7
800,40,destructive,0,0.477500,0.440000,0.459567,1,1,1,0.447118,0.223559,7
800,40,destructive,1,0.210000,0.195000,0.232667,1,1,1,0.447118,0.223559,7
800,40,destructive,2,0.203750,0.225000,0.246467,0,1,0,0.447118,0.223559,7
800,41,destructive,0,0.447500,0.525000,0.459500,1,1,1,0.447118,0.223559,7
800,41,destructive,1,0.242500,0.255000,0.228867,1,1,1,0.447118,0.223559,7
800,41,destructive,2,0.230000,0.260000,0.239333,1,1,1,0.447118,0.223559,7
800,41,destructive,3,0.073750,0.295000,0.325167,0,1,0,0.447118,0.223559,7
800,42,destructive,0,0.461250,0.485000,0.460367,1,1,1,0.447118,0.223559,7
800,42,destructive,1,0.238750,0.280000,0.227400,1,1,1,0.447118,0.223559,7
800,42,destructive,2,0.210000,0.275000,0.247700,1,1,1,0.447118,0.223559,7
