m,seed,policy,degree,accepted,cap_ok,val_ok,train_loss,val_loss,test_loss,epsV,tau,K
150,3,dest_train,26,0,1,0,0.340000,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,27,0,1,0,0.333333,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,28,0,1,0,0.340000,0.383333,0.432000,0.042809,0.008562,16
150,3,dest_train,29,0,1,0,0.340000,0.383333,0.432000,0.042809,0.008562,16
150,3,dest_train,30,0,1,0,0.340000,0.383333,0.433000,0.042809,0.008562,16
150,4,dest_train,0,1,1,1,0.486667,0.516667,0.521000,0.042809,0.008562,16
150,4,dest_train,1,1,1,1,0.446667,0.350000,0.421000,0.042809,0.008562,16
150,4,dest_train,2,1,1,1,0.420000,0.283333,0.427000,0.042809,0.008562,16
150,4,dest_train,3,1,1,1,0.393333,0.516667,0.494000,0.042809,0.008562,16
150,4,dest_train,4,1,1,1,0.326667,0.416667,0.512000,0.042809,0.008562,16
150,4,dest_train,5,1,1,1,0.320000,0.416667,0.515000,0.042809,0.008562,16
150,4,dest_train,6,1,1,1,0.306667,0.416667,0.516000,0.042809,0.008562,16
150,4,dest_train,7,1,1,1,0.300000,0.416667,0.515000,0.042809,0.008562,16
150,4,dest_train,8,1,1,1,0.300000,0.383333,0.514000,0.042809,0.008562,16
150,4,dest_train,9,1,1,1,0.300000,0.400000,0.505000,0.042809,0.008562,16
150,4,dest_train,10,1,1,1,0.300000,0.433333,0.506000,0.042809,0.008562,16
150,4,dest_train,11,1,1,1,0.300000,0.433333,0.509000,0.042809,0.008562,16
150,4,dest_train,12,1,1,1,0.300000,0.433333,0.510000,0.042809,0.008562,16
150,4,dest_train,13,1,1,1,0.300000,0.416667,0.515000,0.042809,0.008562,16
150,4,dest_train,14,1,1,1,0.300000,0.416667,0.512000,0.042809,0.008562,16
150,4,dest_train,15,1,1,1,0.300000,0.416667,0.513000,0.042809,0.008562,16
150,4,dest_train,16,1,1,1,0.300000,0.416667,0.513000,0.042809,0.008562,16
150,4,dest_train,17,1,1,1,0.300000,0.400000,0.517000,0.042809,0.008562,16
150,4,dest_train,18,1,1,1,0.300000,0.400000,0.514000,0.042809,0.008562,16
150,4,dest_train,19,1,1,1,0.300000,0.400000,0.514000,0.042809,0.008562,16
