m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
500,0,destructive,46,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,47,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,48,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,49,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,50,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,51,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,52,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,53,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,54,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,55,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,56,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,57,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,58,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,59,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,60,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,1,destructive,0,0.434000,0.446000,0.437860,1,1,1,0.236607,0.118304,11
500,1,destructive,1,0.226000,0.254000,0.239120,1,1,1,0.236607,0.118304,11
500,1,destructive,2,0.218000,0.250000,0.235960,1,1,1,0.236607,0.118304,11
500,1,destructive,3,0.218000,0.250000,0.235960,1,1,1,0.236607,0.118304,11
500,1,destructive,4,0.218000,0.249000,0.236000,1,1,1,0.236607,0.118304,11
500,1,destructive,5,0.218000,0.249000,0.235980,1,1,1,0.236607,0.118304,11
500,1,destructive,6,0.218000,0.250000,0.236080,1,1,1,0.236607,0.118304,11
500,1,destructive,7,0.218000,0.250000,0.236160,1,1,1,0.236607,0.118304,11
500,1,destructive,8,0.218000,0.250000,0.236140,1,1,1,0.236607,0.118304,11
500,1,destructive,9,0.218000,0.249000,0.235920,1,1,1,0.236607,0.118304,11
500,1,destructive,10,0.218000,0.250000,0.235960,1,1,1,0.236607,0.118304,11
500,1,destructive,11,0.218000,0.250000,0.236040,1,1,1,0.236607,0.118304,11
500,1,destructive,12,0.218000,0.250000,0.236120,1,1,1,0.236607,0.118304,11
500,1,destructive,13,0.218000,0.250000,0.236160,1,1,1,0.236607,0.118304,11
500,1,destructive,14,0.218000,0.250000,0.236220,1,1,1,0.236607,0.118304,11
500,1,destructive,15,0.218000,0.250000,0.236260,1,1,1,0.236607,0.118304,11
500,1,destructive,16,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,17,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,18,0.218000,0.250000,0.236320,1,1,1,0.236607,0.118304,11
500,1,destructive,19,0.218000,0.250000,0.236300,1,1,1,0.236607,0.118304,11
500,1,destructive,20,0.218000,0.250000,0.236300,1,1,1,0.236607,0.118304,11
500,1,destructive,21,0.218000,0.250000,0.236300,1,1,1,0.236607,0.118304,11
500,1,destructive,22,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,23,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,24,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,25,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,26,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,27,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,28,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,29,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,30,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,31,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,32,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,33,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,34,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,35,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
500,1,destructive,36,0.218000,0.250000,0.236280,1,1,1,0.236607,0.118304,11
